Indicator 3 Positive,"Total marine protected areas as share of exclusive economic zone, %",,Share of Subsidies to SSF,,"Marine protected area designated with IUCN management objectives I-III which generally preclude commercial fishing and other extractive industries, as share of exclusive economic zone, %",,Growth rate MPAs,,Bonus points,,Indicator 3 Negative,Overfishing Index,,Fuel subsidies,,Thrawling,,,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,,Indicator 3,Total policies and action score
,,United Kingdom,1,,,,,Iceland,0.2,,Hungary,0,Sweden,-3,Malta,-3,,,Malawi,1,PERU,-1,56,Georgia,0.142857143
,,Canada,1,,,,,India,0.2,,Iceland,0,Ukraine,-3,Marshall Islands,0,,,Malaysia,1,PHILIPPINES,-1,10,Germany,-0.75
,,Mexico,2,,,,,Indonesia,0.2,,India,0,United Kingdom,-3,Mauritania,-3,,,Maldives,2,POLAND,-1,109,Ghana,1.25
,,USA,2,,,,,Iran (Islamic Republic of),0,,Indonesia,-1,Canada,-3,Mauritius,-3,,,Mali,0,PORTUGAL,-1,57,Gibraltar,-0.142857143
,,Australia,2,,,,,Iraq,0,,Iran (Islamic Republic of),2,Mexico,-3,Mexico,-3,,,Malta,0,QATAR,-1.5,11,Greece,0.2
,,Fiji,2,,,,,Ireland,0.2,,Iraq,0,USA,-3,Mongolia,-3,,,Marshall Islands,0,ROMANIA,-1,58,Greenland,0
,,Kiribati,1,,,,,Isle of Man,0,,Ireland,-1,Australia,-3,Montenegro,-3,,,Mauritania,1,RUSSIAN FEDERATION,-1,187,Grenada,1.25
,,Marshall Is,1,,,,,Israel,0,,Isle of Man,0,Fiji,-3,Morocco,-3,,,Mauritius,2,SAMOA,-1,59,Guadeloupe,0.8
,,Micronesia,1,,,,,Italy,0.2,,Israel,0,Kiribati,-3,Mozambique,-3,,,Mexico,1,SÃO TOMÉ AND PRINCIPE,-1,60,Guam,0.5
,,Nauru,1,,,,,Jamaica,0,,Italy,-1,Marshall Is,0,Myanmar,-3,,,Micronesia,0,SAUDI ARABIA,0,188,Guatemala,1
,,Palau,1,,,,,Japan,0.2,,Jamaica,0,Micronesia,0,Namibia,0,,,Moldova,0,SENEGAL,0,64,Guernsey,-0.5
,,Papua New Guinea,1,,,,,Jersey,0,,Japan,1,Nauru,0,Nauru,1,,,Monaco,0,SEYCHELLES,-0.25,110,Guinea,-0.25
,,Samoa,1,,,,,Jordan,0,,Jersey,0,New Zealand,-3,Nepal,0,,,Mongolia,0,SIERRA LEONE,-1,240,Guinea-Bissau,0.25
,,Solomon Is,1,,,,,Kazakhstan,0,,Jordan,0,Palau,0,Netherlands,-3,,,Montenegro,0,SINGAPORE,0,189,Guyana,0.75
,,Tonga,1,,,,,Kenya,0,,Kazakhstan,1,Papua New Guinea,0,New Zealand,-3,,,Morocco,3,SLOVENIA,0,190,Haiti,0
,,Tuvalu,1,,,,,Kiribati,0,,Kenya,-1,Samoa,-3,Nicaragua,0,,,Mozambique,0,SOLOMON ISLANDS,0,241,Heard and McDonald Islands,1.666666667
,,Vanuatu,1,,,,,Kuwait,-0.1,,Kiribati,0,Solomon Is,-3,Niger,0,,,Myanmar,2,SOMALIA,-1.5,61,Heard Island and McDonald Islands,0
,,Antigua Barb,3,,,,,Kyrgyzstan,0,,Kuwait,0,Tonga,-3,Nigeria,-3,,,Namibia,1,SOUTH AFRICA,-1,242,Holy See,0
,,Argentina,1,,,,,Lao People's Democratic Republic,0,,Kyrgyzstan,0,Tuvalu,0,North Korea,1,,,Nauru,0,SPAIN,0,191,Honduras,0.5
,,Barbados,2,,,,,Latvia,0.2,,Lao People's Democratic Republic,0,Vanuatu,-3,Northern Cyprus,1,,,Pakistan,0,SRI LANKA,-1,136,Hong Kong,-1.5
,,Belize,2,,,,,Lebanon,0,,Latvia,2,Antigua Barb,0,Northern Mariana Islands,0,,,Nepal,0,ST. KITTS AND NEVIS,0.142857143,243,Hungary,0.285714286
,,Brazil,2,,,,,Lesotho,0,,Lebanon,-1,Argentina,-3,Norway,-3,,,Netherlands,0,ST. LUCIA,-1,12,Iceland,-0.142857143
,,Chile,2,,,,,Liberia,0,,Lesotho,0,Bahamas,0,Oman,0,,,New Zealand,0,ST. VINCENT AND THE GRENADINES,0,62,India,-0.285714286
,,Colombia,2,,,,,Libya,0,,Liberia,0,Barbados,-3,Pakistan,1,,,Saint Kitts and Nevis,2,SUDAN,-1,63,Indonesia,0.25
,,Costa Rica,2,,,,,Liechtenstein,0,,Libya,0,Belize,0,Palau,0,,,Saint Lucia,2,SURINAME,0,244,Iran (Islamic Republic of),0.25
,,Cuba,3,,,,,Lithuania,0.2,,Liechtenstein,0,Brazil,-3,Panama,0,,,Samoa,0,SWEDEN,-1,138,Iraq,-0.285714286
,,Dominica,1,,,,,Luxembourg,0.2,,Lithuania,0,Chile,0,Papua New Guinea,0,,,San Marino,0,SYRIAN ARAB REPUBLIC,0,13,Ireland,0
,,Dominican Rp,3,,,,,Madagascar,0,,Luxembourg,0,Colombia,0,Paraguay,0,,,São Tomé and Príncipe,2,TANZANIA,0,245,Isle of Man,0.428571429
,,Ecuador,1,,,,,Malawi,0,,Madagascar,0,Costa Rica,-3,Peru,1,,,Saudi Arabia,2,THAILAND,-1,14,Israel,-0.285714286
,,El Salvador,2,,,,,Malaysia,0.1,,Malawi,0,Cuba,0,Philippines,0,,,Senegal,1,TIMOR-LESTE,0,15,Italy,0
,,Grenada,3,,,,,Maldives,0,,Malaysia,-1,Dominica,-3,Poland,-3,,,Serbia,0,TOGO,-1,192,Jamaica,0
,,Guatemala,3,,,,,Mali,0,,Maldives,0,Dominican Rp,0,Portugal,-3,,,Seychelles,1,TONGA,0,16,Japan,0.666666667
,,Guyana,1,,,,,Malta,0.2,,Mali,0,Ecuador,0,Puerto Rico,0,,,Sierra Leone,1,TRINIDAD AND TOBAGO,0,65,Jersey,0.5
,,Haiti,3,,,,,Marshall Islands,0.1,,Malta,0,El Salvador,0,Qatar,-3,,,Singapore,1,TUNISIA,0,139,Jordan,0.5
,,Honduras,3,,,,,Martinique,0,,Marshall Islands,2,Grenada,-3,Romania,-3,,,Slovakia,0,TURKEY,-1,246,Kazakhstan,0.25
,,Jamaica,3,,,,,Mauritania,0,,Martinique,0,Guatemala,0,Russian Federation,-3,,,Slovenia,0,TUVALU,0,112,Kenya,-0.5
,,Nicaragua,3,,,,,Mauritius,0.2,,Mauritania,0,Guyana,0,Rwanda,0,,,Solomon Islands,0,UKRAINE,0,168,Kiribati,1
,,Panama,2,,,,,Mayotte,0,,Mauritius,2,Haiti,0,Saint Kitts and Nevis,-3,,,Nicaragua,0,UNITED ARAB EMIRATES,0,17,Korea,1
,,Peru,2,,,,,Mexico,0.2,,Mayotte,0,Honduras,0,Saint Lucia,0,,,Niger,0,UNITED KINGDOM,0,140,Korea D P Rp,-1
,,St Kitts Nev,3,,,,,Micronesia (Federated States of),0,,Mexico,0,Jamaica,-3,Saint Vincent and the Grenadines,1,,,Nigeria,1,UNITED STATES,-1,141,Korea Rep,0.25
,,St Lucia,3,,,,,Monaco,0,,Micronesia (Federated States of),0,Nicaragua,0,Samoa,1,,,Niue,0,URUGUAY,0,142,Kuwait,0
,,St Vincent,2,,,,,Mongolia,0,,Monaco,0,Panama,0,Sao Tome and Principe,0,,,North Korea,2,VANUATU,0,247,Kyrgyzstan,0
,,Suriname,3,,,,,Montenegro,0.2,,Mongolia,0,Peru,0,Saudi Arabia,-3,,,Norway,0,"VENEZUELA, RB",0,248,Lao People's Democratic Republic,0.142857143
,,Trinidad Tob,3,,,,,Montserrat,0,,Montenegro,0,St Kitts Nev,0,Senegal,-3,,,Oman,3,VIETNAM,0,18,Latvia,0.25
,,Uruguay,3,,,,,Morocco,0,,Montserrat,0,St Lucia,-3,Seychelles,0,,,Palau,1,"YEMEN, REP.",-1,143,Lebanon,0
,,Venezuela,3,,,,,Mozambique,0,,Morocco,0,St Vincent,0,Sierra Leone,-3,,,Palestine,2,,,249,Lesotho,-0.75
,,,,,,,,Myanmar,0,,Mozambique,-1,Suriname,0,Singapore,-3,,,Panama,0,,,113,Liberia,0
,,,,,,,,Namibia,0,,Myanmar,-1,Trinidad Tob,-3,Slovakia,0,,,Papua New Guinea,0,,,114,Libya,0
,,,,,,,,Nauru,0.1,,Namibia,-1,Uruguay,0,Slovenia,-3,,,Paraguay,0,,,250,Liechtenstein,-0.142857143
,,,,,,,,Nepal,0,,Nauru,0,Venezuela,0,Solomon Islands,0,,,Peru,1,,,19,Lithuania,0
,,,,,,,,Netherlands,0.2,,Nepal,0,,,Somalia,-3,,,Philippines,0,,,251,Luxembourg,-0.25
,,,,,,,,New Caledonia,0,,Netherlands,0,,,South Africa,-3,,,Poland,0,,,115,Madagascar,0
,,,,,,,,New Zealand,0,,New Caledonia,0,,,South Korea,-3,,,Portugal,0,,,252,Malawi,-1.25
,,,,,,,,Nicaragua,0.2,,New Zealand,1,,,Spain,-3,,,Qatar,0,,,144,Malaysia,-0.5
,,,,,,,,Niger,0,,Nicaragua,1,,,Sri Lanka,0,,,Republic of the Congo,2,,,145,Maldives,0
,,,,,,,,Nigeria,0,,Niger,0,,,Sudan,0,,,Romania,0,,,253,Mali,0
,,,,,,,,Niue,0,,Nigeria,0,,,Suriname,0,,,Russia,0,,,67,Malta,1
,,,,,,,,Norfolk Island,0,,Niue,0,,,Sweden,-3,,,Rwanda,0,,,254,Marshall Islands,1.25
,,,,,,,,North Macedonia,0,,Norfolk Island,0,,,Switzerland,1,,,Saint Vincent and the Grenadines,2,,,68,Martinique,-1
,,,,,,,,Northern Mariana Islands,0,,North Macedonia,0,,,Taiwan,-3,,,Nicaragua,0,,,116,Mauritania,0
,,,,,,,,Norway,0.2,,Northern Mariana Islands,0,,,Tajikistan,0,,,Niger,0,,,117,Mauritius,1.25
,,,,,,,,Oman,0,,Norway,0,,,Thailand,-3,,,Nigeria,1,,,69,Mayotte,0.428571429
,,,,,,,,Pakistan,0,,Oman,0,,,Togo,1,,,Niue,0,,,20,Mexico,0.333333333
,,,,,,,,Palau,0.2,,Pakistan,-1,,,Tonga,0,,,North Korea,2,,,255,Micronesia (Federated States of),0.333333333
,,,,,,,,Palestine,0,,Palau,0,,,Trinidad and Tobago,0,,,Norway,0,,,163,Monaco,-1.5
,,,,,,,,Panama,0.2,,Palestine,0,,,Tunisia,-3,,,Oman,3,,,256,Mongolia,0
,,,,,,,,Papua New Guinea,0,,Panama,0,,,Turkey,-3,,,Palau,1,,,164,Montenegro,0.666666667
,,,,,,,,Paraguay,0,,Papua New Guinea,0,,,Uganda,0,,,Palestine,2,,,70,Montserrat,-1.25
,,,,,,,,Peru,0.2,,Paraguay,0,,,Ukraine,-3,,,Panama,0,,,118,Morocco,-1.25
,,,,,,,,Philippines,0.2,,Peru,0,,,United Arab Emirates,1,,,Papua New Guinea,0,,,119,Mozambique,-0.75
,,,,,,,,Pitcairn,0,,Philippines,2,,,United Kingdom of Great Britain and Northern Ireland,-3,,,Paraguay,0,,,146,Myanmar,-0.75
,,,,,,,,Poland,0.2,,Pitcairn,0,,,United Republic of Tanzania,0,,,Peru,1,,,120,Namibia,0.5
,,,,,,,,Portugal,0.2,,Poland,1,,,United States of America,-3,,,Philippines,0,,,171,Nauru,0
,,,,,,,,Puerto Rico,0,,Portugal,1,,,United States Virgin Islands,0,,,Poland,0,,,257,Nepal,-0.142857143
,,,,,,,,Qatar,0,,Puerto Rico,0,,,Uruguay,-3,,,Portugal,0,,,21,Netherlands,1.25
,,,,,,,,Republic of Korea,0,,Qatar,1,,,Uzbekistan,0,,,Qatar,0,,,71,New Caledonia,-0.166666667
,,,,,,,,Republic of Moldova,0,,Republic of Korea,0,,,Vanuatu,1,,,Republic of the Congo,2,,,22,New Zealand,1
,,,,,,,,Réunion,0,,Republic of Moldova,0,,,Venezuela (Bolivarian Republic of),-3,,,Romania,0,,,193,Nicaragua,0
,,,,,,,,Romania,0.2,,Réunion,0,,,Viet Nam,-3,,,Russia,0,,,258,Niger,0
,,,,,,,,Russian Federation,0.2,,Romania,2,,,Yemen,0,,,Rwanda,0,,,121,Nigeria,1.25
,,,,,,,,Rwanda,0,,Russian Federation,0,,,Zambia,0,,,Saint Vincent and the Grenadines,2,,,72,Niue,2
,,,,,,,,Saint Barthélemy,0,,Rwanda,0,,,Zimbabwe,0,,,Saint Kitts and Nevis,2,,,73,Norfolk Island,1
,,,,,,,,"Saint Helena, Ascension and Tristan da Cunha",0,,Saint Barthélemy,0,,,,-3,,,Saint Lucia,2,,,306,North Korea,0
,,,,,,,,Saint Kitts and Nevis,0.2,,"Saint Helena, Ascension and Tristan da Cunha",1,,,,-3,,,Samoa,0,,,259,North Macedonia,1
,,,,,,,,Saint Lucia,0,,Saint Kitts and Nevis,0,,,,1,,,San Marino,0,,,307,Northern Cyprus,0.8
,,,,,,,,Saint Pierre and Miquelon,0,,Saint Lucia,0,,,,-3,,,São Tomé and Príncipe,2,,,74,Northern Mariana Islands,-0.142857143
,,,,,,,,Saint Vincent and the Grenadines,0,,Saint Pierre and Miquelon,0,,,,-3,,,Saudi Arabia,2,,,23,Norway,-0.25
,,,,,,,,Saint-Martin (French part),0.2,,Saint Vincent and the Grenadines,0,,,,1,,,Senegal,1,,,147,Oman,0.5
,,,,,,,,Samoa,0.1,,Saint-Martin (French part),0,,,,,,,Serbia,0,,,148,Pakistan,0.25
,,,,,,,,San Marino,0,,Samoa,0,,,,,,,Seychelles,1,,,172,Palau,0
,,,,,,,,Sao Tome and Principe,0,,San Marino,0,,,,,,,Sierra Leone,1,,,260,Palestine,0.5
,,,,,,,,Saudi Arabia,0,,Sao Tome and Principe,0,,,,,,,Singapore,1,,,194,Panama,0.25
,,,,,,,,Senegal,0,,Saudi Arabia,2,,,,,,,Slovakia,0,,,173,Papua New Guinea,0
,,,,,,,,Serbia,0,,Senegal,0,,,,,,,Slovenia,0,,,261,Paraguay,0.857142857
,,,,,,,,Seychelles,0.2,,Serbia,0,,,,,,,Solomon Islands,0,,,75,Peru,0
,,,,,,,,Sierra Leone,0,,Seychelles,-1,,,,,,,Somalia,1,,,149,Philippines,1.75
,,,,,,,,Singapore,0.1,,Sierra Leone,0,,,,,,,South Africa,0,,,76,Pitcairn,0
,,,,,,,,Sint Maarten (Dutch part),0,,Singapore,0,,,,,,,South Korea,0,,,24,Poland,0
,,,,,,,,Slovakia,0.2,,Sint Maarten (Dutch part),0,,,,,,,South Sudan,0,,,25,Portugal,0.6
,,,,,,,,Slovenia,0.2,,Slovakia,0,,,,,,,Spain,0,,,77,Puerto Rico,0
,,,,,,,,Solomon Islands,0.2,,Slovenia,-1,,,,,,,Sri Lanka,5,,,150,Qatar,0.75
,,,,,,,,Somalia,0,,Solomon Islands,0,,,,,,,Sudan,1,,,78,Réunion,0
,,,,,,,,South Africa,0,,Somalia,0,,,,,,,Suriname,3,,,262,Republic of Korea,0
,,,,,,,,South Georgia and the South Sandwich Islands,0,,South Africa,0,,,,,,,Sweden,0,,,263,Republic of Moldova,0.428571429
,,,,,,,,South Sudan,0,,South Georgia and the South Sandwich Islands,0,,,,,,,Switzerland,0,,,79,Romania,1.333333333
,,,,,,,,Spain,0.2,,South Sudan,0,,,,,,,Syria,1,,,80,Russia,-1.25
,,,,,,,,Sri Lanka,0,,Spain,1,,,,,,,Tajikistan,0,,,165,Russian Federation,0
,,,,,,,,Sudan,0,,Sri Lanka,0,,,,,,,Tanzania,4,,,264,Rwanda,1.25
,,,,,,,,Suriname,0.1,,Sudan,0,,,,,,,Ukraine,0,,,82,Saint Barthélemy,2
,,,,,,,,Svalbard and Jan Mayen Islands,0,,Suriname,0,,,,,,,Thailand,1,,,81,Saint Helena,1
,,,,,,,,Sweden,0.2,,Svalbard and Jan Mayen Islands,0,,,,,,,Timor-Leste,2,,,265,"Saint Helena, Ascension and Tristan da Cunha",-1.5
,,,,,,,,Switzerland,0,,Sweden,1,,,,,,,Togo,1,,,266,Saint Kitts and Nevis,0
,,,,,,,,Syrian Arab Republic,0,,Switzerland,0,,,,,,,Tonga,1,,,267,Saint Lucia,1.666666667
,,,,,,,,Tajikistan,0,,Syrian Arab Republic,0,,,,,,,Trinidad and Tobago,0,,,66,Saint Martin,0.666666667
,,,,,,,,Thailand,0.2,,Tajikistan,0,,,,,,,Tunisia,1,,,84,Saint Pierre and Miquelon,0.5
,,,,,,,,Timor-Leste,0,,Thailand,0,,,,,,,Turkey,0,,,268,Saint Vincent and the Grenadines,0
,,,,,,,,Togo,0,,Timor-Leste,0,,,,,,,Turkmenistan,0,,,269,Saint-Martin (French part),0
,,,,,,,,Tokelau,0,,Togo,-1,,,,,,,Tuvalu,0,,,174,Samoa,0
,,,,,,,,Tonga,0,,Tokelau,0,,,,,,,Uganda,0,,,270,San Marino,0
,,,,,,,,Trinidad and Tobago,0.1,,Tonga,0,,,,,,,United Arab Emirates,1,,,271,Sao Tome and Principe,1
,,,,,,,,Tunisia,0,,Trinidad and Tobago,-1,,,,,,,United Kingdom,0,,,122,Sao Tome Prn,0.428571429
,,,,,,,,Türkiye,0.2,,Tunisia,-1,,,,,,,United States,0,,,85,Saudi Arabia,-1
,,,,,,,,Turkmenistan,0,,Türkiye,-1,,,,,,,Uruguay,1,,,123,Senegal,0
,,,,,,,,Turks and Caicos Islands,0,,Turkmenistan,0,,,,,,,Uzbekistan,0,,,272,Serbia,-0.75
,,,,,,,,Tuvalu,0,,Turks and Caicos Islands,0,,,,,,,Vanuatu,1,,,124,Seychelles,0.25
,,,,,,,,Uganda,0,,Tuvalu,0,,,,,,,Venezuela,2,,,125,Sierra Leone,-0.5
,,,,,,,,Ukraine,0.1,,Uganda,0,,,,,,,Vietnam,3,,,151,Singapore,1
,,,,,,,,United Arab Emirates,0.2,,Ukraine,1,,,,,,,Yemen,0,,,83,Sint Maarten,0
,,,,,,,,United Kingdom of Great Britain and Northern Ireland,0.2,,United Arab Emirates,0,,,,,,,Zambia,1,,,273,Sint Maarten (Dutch part),0
,,,,,,,,United Republic of Tanzania,0.1,,United Kingdom of Great Britain and Northern Ireland,1,,,,,,,Zimbabwe,0,,,274,Slovakia,-0.142857143
,,,,,,,,United States Minor Outlying Islands,0,,United Kingdom of Great Britain and Northern Ireland,1,,,,,,,,,,,26,Slovenia,-0.5
,,,,,,,,United States of America,0,,United Republic of Tanzania,2,,,,,,,,,,,275,Solomon Islands,0
,,,,,,,,United States Virgin Islands,0,,United States Minor Outlying Islands,0,,,,,,,,,,,126,Somalia,-0.142857143
,,,,,,,,Uruguay,0,,United States of America,1,,,,,,,,,,,86,South Africa,1.25
,,,,,,,,Uzbekistan,0,,United States Virgin Islands,0,,,,,,,,,,,87,South Georgia and the South Sandwich Islands,-3
,,,,,,,,Vanuatu,0,,Uruguay,0,,,,,,,,,,,308,South Korea,0
,,,,,,,,Venezuela (Bolivarian Republic of),0.2,,Uzbekistan,0,,,,,,,,,,,276,South Sudan,0.285714286
,,,,,,,,Viet Nam,0,,Vanuatu,0,,,,,,,,,,,27,Spain,-0.25
,,,,,,,,Wallis and Futuna Islands,0,,Venezuela (Bolivarian Republic of),0,,,,,,,,,,,152,Sri Lanka,1.5
,,,,,,,,Western Sahara,0,,Viet Nam,0,,,,,,,,,,,195,St Kitts Nev,0
,,,,,,,,Yemen,0.1,,Wallis and Futuna Islands,0,,,,,,,,,,,196,St Lucia,1
,,,,,,,,Zambia,0.1,,Western Sahara,0,,,,,,,,,,,197,St Vincent,1
,,,,,,,,Zimbabwe,0,,Yemen,2,,,,,,,,,,,127,Sudan,0.75
,,,,,,,,,,,Zambia,0,,,,,,,,,,,198,Suriname,1.333333333
,,,,,,,,,,,Zimbabwe,0,,,,,,,,,,,88,Svalbard and Jan Mayen,0
,,,,,,,,,,,,,,,,,,,,,,,277,Svalbard and Jan Mayen Islands,0.285714286
,,,,,,,,,,,,,,,,,,,,,,,28,Sweden,0.5
,,,,,,,,,,,,,,,,,,,,,,,278,Switzerland,1
,,,,,,,,,,,,,,,,,,,,,,,153,Syria,0
,,,,,,,,,,,,,,,,,,,,,,,279,Syrian Arab Republic,-1
,,,,,,,,,,,,,,,,,,,,,,,283,Türkiye,-1.666666667
,,,,,,,,,,,,,,,,,,,,,,,154,Taiwan,0
,,,,,,,,,,,,,,,,,,,,,,,280,Tajikistan,1.5
,,,,,,,,,,,,,,,,,,,,,,,128,Tanzania,-1.25
,,,,,,,,,,,,,,,,,,,,,,,155,Thailand,0.5
,,,,,,,,,,,,,,,,,,,,,,,156,Timor Leste,0
,,,,,,,,,,,,,,,,,,,,,,,281,Timor-Leste,0
,,,,,,,,,,,,,,,,,,,,,,,129,Togo,0.75
,,,,,,,,,,,,,,,,,,,,,,,89,Tokelau,-0.5
,,,,,,,,,,,,,,,,,,,,,,,176,Tonga,-0.5
,,,,,,,,,,,,,,,,,,,,,,,282,Trinidad and Tobago,0
,,,,,,,,,,,,,,,,,,,,,,,199,Trinidad Tob,-1.5
,,,,,,,,,,,,,,,,,,,,,,,130,Tunisia,-1.666666667
,,,,,,,,,,,,,,,,,,,,,,,157,Turkey,0
,,,,,,,,,,,,,,,,,,,,,,,284,Turkmenistan,0.75
,,,,,,,,,,,,,,,,,,,,,,,90,Turks and Caicos Islands,0.333333333
,,,,,,,,,,,,,,,,,,,,,,,177,Tuvalu,0
,,,,,,,,,,,,,,,,,,,,,,,285,Uganda,0.142857143
,,,,,,,,,,,,,,,,,,,,,,,91,Ukraine,1
,,,,,,,,,,,,,,,,,,,,,,,286,United Arab Emirates,0.285714286
,,,,,,,,,,,,,,,,,,,,,,,29,United Kingdom,1
,,,,,,,,,,,,,,,,,,,,,,,289,United Republic of Tanzania,0.285714286
,,,,,,,,,,,,,,,,,,,,,,,30,United States,0
,,,,,,,,,,,,,,,,,,,,,,,290,United States Minor Outlying Islands,0.6
,,,,,,,,,,,,,,,,,,,,,,,92,United States Virgin Islands,0
,,,,,,,,,,,,,,,,,,,,,,,299,Untd Arab Em,0.2
,,,,,,,,,,,,,,,,,,,,,,,200,Uruguay,0
,,,,,,,,,,,,,,,,,,,,,,,292,Uzbekistan,-0.25
,,,,,,,,,,,,,,,,,,,,,,,178,Vanuatu,1.5
,,,,,,,,,,,,,,,,,,,,,,,201,Venezuela,-1.5
,,,,,,,,,,,,,,,,,,,,,,,293,Venezuela (Bolivarian Republic of),-0.25
,,,,,,,,,,,,,,,,,,,,,,,159,Viet Nam,0.666666667
,,,,,,,,,,,,,,,,,,,,,,,93,Wallis and Futuna,0
,,,,,,,,,,,,,,,,,,,,,,,295,Western Sahara,1.5
,,,,,,,,,,,,,,,,,,,,,,,95,World,0.25
,,,,,,,,,,,,,,,,,,,,,,,160,Yemen,0
,,,,,,,,,,,,,,,,,,,,,,,296,Zambia,0
,,,,,,,,,,,,,,,,,,,,,,,297,Zimbabwe,-3
,,,,,,,,,,,,,,,,,,,,,,,309,,-3
,,,,,,,,,,,,,,,,,,,,,,,310,,1
,,,,,,,,,,,,,,,,,,,,,,,311,,-3
,,,,,,,,,,,,,,,,,,,,,,,312,,-3
,,,,,,,,,,,,,,,,,,,,,,,313,,1
,,,,,,,,,,,,,,,,,,,,,,,314,,1
